,curated_organism_name,accession,length,superkingdom_code,genus_code,species_code,superkingdom_name,genus_name,species_name,taxid,species_taxid,GCF_accession,GCF_accession_without_version,filename,num_contigs,info,refseq_organism_name,refseq_full_organism_name,bacsort_organism_name,bioproject,biosample,refseq_category,infraspecific_name,assembly_level,asm_name,submitter,ftp_path
51,Citrobacter amalonaticus,Citrobacter_amalonaticus/0005.fna.gz,5202648,2,544,35703,Bacteria,Citrobacter,Citrobacter amalonaticus,35703,35703,Citrobacter_amalonaticus/0005.fna.gz,Citrobacter_amalonaticus/0005.fna.gz,Citrobacter_amalonaticus/0005.fna.gz,1,,Citrobacter amalonaticus,Citrobacter amalonaticus,Citrobacter amalonaticus,,,,,,,,
52,Citrobacter braakii,Citrobacter_braakii/0000.fna.gz,4904641,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0000.fna.gz,Citrobacter_braakii/0000.fna.gz,Citrobacter_braakii/0000.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
53,Citrobacter braakii,Citrobacter_braakii/0001.fna.gz,5266563,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0001.fna.gz,Citrobacter_braakii/0001.fna.gz,Citrobacter_braakii/0001.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
54,Citrobacter braakii,Citrobacter_braakii/0002.fna.gz,4834774,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0002.fna.gz,Citrobacter_braakii/0002.fna.gz,Citrobacter_braakii/0002.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
55,Citrobacter braakii,Citrobacter_braakii/0003.fna.gz,5242830,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0003.fna.gz,Citrobacter_braakii/0003.fna.gz,Citrobacter_braakii/0003.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
56,Citrobacter braakii,Citrobacter_braakii/0004.fna.gz,5040789,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0004.fna.gz,Citrobacter_braakii/0004.fna.gz,Citrobacter_braakii/0004.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
57,Citrobacter braakii,Citrobacter_braakii/0005.fna.gz,5005025,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0005.fna.gz,Citrobacter_braakii/0005.fna.gz,Citrobacter_braakii/0005.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
58,Citrobacter braakii,Citrobacter_braakii/0006.fna.gz,4999634,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0006.fna.gz,Citrobacter_braakii/0006.fna.gz,Citrobacter_braakii/0006.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
59,Citrobacter braakii,Citrobacter_braakii/0007.fna.gz,5086871,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0007.fna.gz,Citrobacter_braakii/0007.fna.gz,Citrobacter_braakii/0007.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
60,Citrobacter braakii,Citrobacter_braakii/0008.fna.gz,5663534,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0008.fna.gz,Citrobacter_braakii/0008.fna.gz,Citrobacter_braakii/0008.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
61,Citrobacter braakii,Citrobacter_braakii/0009.fna.gz,4877666,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0009.fna.gz,Citrobacter_braakii/0009.fna.gz,Citrobacter_braakii/0009.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
62,Citrobacter braakii,Citrobacter_braakii/0010.fna.gz,5446777,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0010.fna.gz,Citrobacter_braakii/0010.fna.gz,Citrobacter_braakii/0010.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
63,Citrobacter braakii,Citrobacter_braakii/0011.fna.gz,5575578,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0011.fna.gz,Citrobacter_braakii/0011.fna.gz,Citrobacter_braakii/0011.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
64,Citrobacter braakii,Citrobacter_braakii/0012.fna.gz,5430566,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0012.fna.gz,Citrobacter_braakii/0012.fna.gz,Citrobacter_braakii/0012.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
65,Citrobacter braakii,Citrobacter_braakii/0013.fna.gz,5475127,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0013.fna.gz,Citrobacter_braakii/0013.fna.gz,Citrobacter_braakii/0013.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
66,Citrobacter braakii,Citrobacter_braakii/0014.fna.gz,5634842,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0014.fna.gz,Citrobacter_braakii/0014.fna.gz,Citrobacter_braakii/0014.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
67,Citrobacter braakii,Citrobacter_braakii/0015.fna.gz,4824930,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0015.fna.gz,Citrobacter_braakii/0015.fna.gz,Citrobacter_braakii/0015.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
68,Citrobacter braakii,Citrobacter_braakii/0016.fna.gz,5072546,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0016.fna.gz,Citrobacter_braakii/0016.fna.gz,Citrobacter_braakii/0016.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
69,Citrobacter braakii,Citrobacter_braakii/0017.fna.gz,5311537,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0017.fna.gz,Citrobacter_braakii/0017.fna.gz,Citrobacter_braakii/0017.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
70,Citrobacter braakii,Citrobacter_braakii/0018.fna.gz,5401142,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0018.fna.gz,Citrobacter_braakii/0018.fna.gz,Citrobacter_braakii/0018.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
71,Citrobacter braakii,Citrobacter_braakii/0019.fna.gz,5457296,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0019.fna.gz,Citrobacter_braakii/0019.fna.gz,Citrobacter_braakii/0019.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
72,Citrobacter braakii,Citrobacter_braakii/0020.fna.gz,5290509,2,544,57706,Bacteria,Citrobacter,Citrobacter braakii,57706,57706,Citrobacter_braakii/0020.fna.gz,Citrobacter_braakii/0020.fna.gz,Citrobacter_braakii/0020.fna.gz,1,,Citrobacter braakii,Citrobacter braakii,Citrobacter braakii,,,,,,,,
73,Citrobacter europaeus,Citrobacter_europaeus/0000.fna.gz,5357480,2,544,1914243,Bacteria,Citrobacter,Citrobacter europaeus,1914243,1914243,Citrobacter_europaeus/0000.fna.gz,Citrobacter_europaeus/0000.fna.gz,Citrobacter_europaeus/0000.fna.gz,1,,Citrobacter europaeus,Citrobacter europaeus,Citrobacter europaeus,,,,,,,,
74,Citrobacter farmeri,Citrobacter_farmeri/0000.fna.gz,5715629,2,544,67824,Bacteria,Citrobacter,Citrobacter farmeri,67824,67824,Citrobacter_farmeri/0000.fna.gz,Citrobacter_farmeri/0000.fna.gz,Citrobacter_farmeri/0000.fna.gz,1,,Citrobacter farmeri,Citrobacter farmeri,Citrobacter farmeri,,,,,,,,
